thai,lesson,pos,trans_cn,sound,ipa,ety,sent,sent_cn
ตา,V1L01,N.,眼睛，外祖父,,,,,
ปี,V1L01,N.,年，岁,,,,,
ดู,V1L01,V.,看,,,,,
อา,V1L01,N.,叔叔，姑姑,,,,,
ตี,V1L01,V.,打，敲击,,,,,
ดี,V1L01,Adj.,好,,,,,
ปู,V1L01,N.,螃蟹,,,,,
กะปิ,V1L01,N.,虾酱,,,,,
ตะปู,V1L01,N.,钉子,,,,,
กา,V1L01,N.,乌鸦,,,,,
ปา,V1L01,V.,投掷,,,,,
จะ,V1L01,Part.V.,将要，要,,,,,
กะ,V1L01,,估计,,,,,
ดุ,V1L01,V.,凶，责怪,,,,,
จำ,V1L02,V.,记,,,,,
ไป,V1L02,V.,去,,,,,
เตะ,V1L02,V.,踢,,,,,
ดำ,V1L02,Adj.,黑,,,,,
ตำ,V1L02,V.,捣，舂,,,,,
ดีใจ,V1L02,Adj.,高兴,,,,,
ไอ,V1L02,V.,咳嗽,,,,,
เอา,V1L02,V.,拿,,,,,
แกะ,V1L02,N.,羊,,,,,
ใจ,V1L02,N.,心,,,,,
เบา,V1L02,Adj.,轻,,,,,
เกาะ,V1L02,N.,岛,,,,,
เตา,V1L02,N.,炉灶,,,,,
เดา,V1L02,V.,猜，猜测,,,,,
โต๊ะ,V1L03,N.,桌子,,,,,
ป้า,V1L03,N.,伯母、大娘,,,,,
ไก่,V1L03,N.,鸡,,,,,
โกโก้,V1L03,N.,可可,,,,,
กี่,V1L03,Pron.Interg.,几,,,,,
แก่,V1L03,Adj.,老的，年长的；给,,,,,
เป่า,V1L03,V.,吹,,,,,
เก้าอี้,V1L03,N.,椅子,,,,,
ได้,V1L03,V.,得到，可以,,,,,
เก้า,V1L03,Num.,九,,,,,
ปู่,V1L03,N.,祖父,,,,,
เก่า,V1L03,Adj.,旧的,,,,,
ป่า,V1L03,N.,树林,,,,,
ปี่,V1L03,N.,笛子,,,,อาเป่าปี่ได้ดี,叔叔笛子吹得好。
ไข่ไก่,V1L04,N.,鸡蛋,,,,,
สี,V1L04,N.,颜色,,,,,
สี่,V1L04,Num.,四,,,,,
หอ,V1L04,N.,楼，楼房,,,,,
เขา,V1L04,Pron.,他，她,,,,เขาเข้าไป,他进去。
ขา,V1L04,N.,腿,,,,,
ให้,V1L04,V.,给,,,,เขาให้ไข่ไก่แก่ตา,他给叔叔鸡蛋。
เข้าใจ,V1L04,V.,明白,,,,,
ถ้า,V1L04,Conj.,如果,,,,,
ถู,V1L04,V.,擦，抹,,,,,
ห้า,V1L04,Num.,五,,,,,
หา,V1L04,V.,找,,,,,
ไผ่,V1L04,N.,竹子,,,,,
เข้า,V1L04,V.,进，进入,,,,,
ผ้า,V1L04,N.,布,,,,,
หู,V1L04,N.,耳朵,,,,,
ใส่,V1L04,V.,穿，戴,,,,,
ขอ,V1L04,V.,请求,,,,,
ขู่,V1L04,V.,威胁,,,,,
ฝา,V1L04,N.,盖子,,,,,
คือ,V1L05,Cop.,是,,,,นี่คืออะไรคะ?,这是什么？
ไฟฟ้า,V1L05,N.,电,,,,,
ใบชา,V1L05,N.,茶叶,,,,,
พ่อ,V1L05,N.,爸爸,,,,,
เธอ,V1L05,Pron.,她；你,,,,,
ภาษา,V1L05,N.,语言,,,,,
ฟ้า,V1L05,N.,天空；蓝色,,,,,
ทำ,V1L05,V.,做,,,,,
แพะ,V1L05,N.,山羊,,,,,
ชื่อ,V1L05,N.;V.,名字；名叫,,,,,
ซื้อ,V1L05,V.,买,,,,,
พี่,V1L05,,哥哥、姐姐,,,,,
คะ/ค่ะ,V1L05,Part.Hon.,语尾助词,,,,,
ใช้,V1L05,V.,使用,,,,,
ภาษาไทย,V1L05,N.,泰语,,,,,
คู่,V1L05,Clf.,对、双,,,,,
ใช่,V1L05,,是、是的,,,,,
คำ,V1L05,N.,字、词,,,,,
นาฬิกา,V1L06,N.,钟表,,,,นี่คือนาฬิกาค่ะ,这是钟表。
เรา,V1L06,Pron,我们,,,,,
นี่,V1L06,Dem.,这,,,,นี่คืออะไรคะ?,这是什么？
อะไร,V1L06,Pron.Interg.,什么,,,,นี่คืออะไรคะ?,这是什么？
มา,V1L06,V.,来,,,,,
มี,V1L06,Exist,有,,,,แม่มีอะไรในมือคะ?,妈妈手里有什么？
น้ำ,V1L06,N.,水,,,,,
ไม่ใช่,V1L06,,不是,,,,,
ใบไม้,V1L06,N.,树叶,,,,,
ทำไม,V1L06,Pron.Interg.,为什么,,,,ทำไมไปหาเขาคะ?,为什么去找他？
ทีวี,V1L06,N.,电视机,,,,,
และ,V1L06,Part.Nom.,和、与,,,,,
แม่,V1L06,N.,妈妈,,,,,
น้า,V1L06,N.,小舅、小姨,,,,,
นี้,V1L06,Dem.,这、这个,,,,,
มือ,V1L06,N.,手,,,,,
ไม่,V1L06,Neg.,不、没,,,,,
รู้,V1L06,V.,知道,,,,เราไม่รู้ค่ะ,我们不知道。
น้ำชา,V1L06,N.,茶,,,,,
ธุระ,V1L06,N.,事情,,,,เรามีธุระไปหาเขาค่ะ,我们有事找他。
ใน,V1L06,Prep.,在……里面,,,,,
ช้า,V1L06,Adj.,迟,,,,,
ม้า,V1L06,N.,马,,,,,
งา,V1L06,N.,芝麻,,,,,
